2026-04-09 23:54:53 | INFO | import | 导入任务完成 import_file_id=50 chars=4 units=9 events=4 rels=2
2026-04-09 23:55:27 | INFO | import | 导入预览 AI 增强开始 import_file_id=51 filename=1212.txt
2026-04-09 23:55:39 | INFO | import | AI 调用成功 task=import_narrative_parse provider=deepseek model=deepseek-chat attempt=1
2026-04-09 23:55:39 | INFO | import | 导入预览 AI 增强完成 import_file_id=51
2026-04-09 23:59:00 | INFO | import | 导入预览 AI 增强开始 import_file_id=52 filename=1.txt
2026-04-10 00:02:00 | INFO | import | 导入预览 AI 增强完成 import_file_id=52
2026-04-10 00:04:41 | INFO | import | 导入预览 AI 增强开始 import_file_id=53 filename=test.txt
2026-04-10 00:06:40 | INFO | import | AI 调用成功 task=import_narrative_parse provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:06:40 | INFO | import | 导入预览 AI 增强完成 import_file_id=53
2026-04-10 00:10:57 | INFO | import | 导入任务已排队 import_file_id=53 filename=test.txt
2026-04-10 00:10:57 | INFO | import | 导入任务开始 import_file_id=53 filename=test.txt
2026-04-10 00:11:17 | INFO | import | AI 调用成功 task=import_commit_review provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:11:17 | INFO | import | 清理旧导入遗留数据 char_ids=[2, 1, 3, 5, 6] legacy_events=0 legacy_observations=0
2026-04-10 00:11:18 | INFO | import | 导入事件创建完成 import_file_id=53 created_events=4
2026-04-10 00:11:26 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:11:33 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:11:41 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:11:49 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:11:57 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:12:08 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:12:17 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:12:27 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:12:35 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
